Description,Total_Amount,Count,Procent
biedronka,-434.24,19,25.24
kaufland,-213.42,4,12.4
stacja paliw moya,-149.13,3,8.67
żabka,-147.29,10,8.56
sindbad kebab,-126.0,5,7.32
mcdonald's,-87.69999999999999,3,5.1
uber eats,-56.04,1,3.26
pasaz 2 kiosk pasibus,-54.760000000000005,3,3.18
sushi fresh aleja bielany,-44.9,1,2.61
la vida lokal,-41.0,2,2.38
mm sklep monopolowo sp,-35.6,9,2.07
piekarnia wygorzele,-32.3,1,1.88
rossmann,-31.97,3,1.86
duży ben,-30.97,1,1.8
alona zhosan,-25.99,1,1.51
orlen,-24.38,1,1.42
cukiernia izabela,-20.4,4,1.19
mania al taglio,-19.8,1,1.15
fuga mundi snooker & billiards club,-18.0,1,1.05
amrest,-17.98,1,1.04
smoke shop,-17.9,1,1.04
max burgers,-15.25,1,0.89
action,-15.239999999999998,2,0.89
bp,-9.99,1,0.58
express oriental,-8.83,1,0.51
lombardczyk,-8.0,1,0.46
piekarnia hert,-7.5,2,0.44
delikatesy centrum,-7.35,1,0.43
fc caffe,-6.0,1,0.35
ukrainoczka,-4.04,1,0.23
eurospar,-3.39,1,0.2
sklep ogólnospożywczy,-3.27,1,0.19
carrefour,-1.98,1,0.12
